RT @TheRightWingM: Giuliani watched his city attacked &amp; people jump to their deaths. He's entitled to say WTF he wants about the guy shieldâ¦,0,2
"RT @YesYoureRacist: At least you're only a tiny bit racist RT @AnMo95: I'm not racist, but my dick is!",0,3
"RT @Dreamdefenders: Eric Holder from #ferguson: ""I understand that mistrust. I am the Attorney General, but I am also a Black Man"" http://tâ¦",0,5
RT @AntonioFrench: I spent the morning at the Board of Elections getting maps/data to start registering every black person in #Ferguson. htâ¦,0,6
"RT @harikondabolu: In his #Ferguson testimony, Darren Wilson said he thought ""it looks like a demon"" before he shot Mike Brown. Ironic wordâ¦",0,7
"""He can't be a server at our restaurant, that beard makes him look like a terrorist."" Everyone laughs. #fuckthanksgiving",0,8
@GarrettaBrown85 @5Candrew Why do people even talk about white privilege when the majority of food stamp recipients are white people!!,0,9
RT @dstfelix: to be clear white boys singing abt hanging niggers got them police protection. black ppl chanting Black Lives Matter got themâ¦,0,10
RT @ThePatriot143: Betð3 'Race Pimps' enjoyed watching #Ferguson protesters being interviewed on @seanhannity show as much as I did. http:/â¦,0,11
"#Repost totalblacktv1

Don't ask me to think.......I just want to entertain! #coon #cooningâ¦ http://t.co/T2SQ4Nj46z",0,12
Man wtf is this damn #Coon ass nigga #BillyBlanks doing on that damn commercial? ? #CooneryAtItsFinest,0,15
"In the words of former contestant @whatsnextjake , Katie and Nikki need to calm their farm. #MKR",1,16
"Katie and Nikki - NSW - My Kitchen Rules 
When Will people learn? They are not that hot. Pride always comes before a fall.",1,17
The face of very ugly promo girls ! Faces like cats arsehole #mkr excited to see them@go down tonight...literally http://t.co/HgoJrfoIeO,1,18
#mkr OH MY GAWD WE ARE LIKE SO HOT I CAN'T EVEN... http://t.co/yisKQvhmkH,1,19
"""It's Katie and Nikki to a T. In that it's trashy and cheap.""

#MKR",1,20
The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl I guess #MKR,1,21
"Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR",1,22
"""@NewIdeamagazine:They weren't kidding when they said deconstructed! #mkr"" Yeh. Seen better shit in women's magazi... Oh. Right...Sorry #MKR",1,24
